,index,Title,Content,Category
2234,11,"
Astronomers spot a unique green glow around Mars
","The European Space Agency's Trace Gas Orbiter has spotted an emerald glow in Mars' atmosphere. The glow comes from oxygen atoms when they are excited by Sun's light. Although this is the first time the phenomenon has been detected on a planet beyond Earth, this emission has been predicted to exist at Mars for around 40 years, a researcher said.",science
2235,12,"
68-million-yr-old fossil found in Antarctica is world's 2nd-largest egg: Scientists
","A 68-million-year-old fossil found in Antarctica in 2011, is the largest soft-shell egg ever discovered and the second-largest egg belonging to any known animal, researchers at the University of Texas said. They believe the egg belonged to mosasaurs- marine reptiles that lived alongside dinosaurs. The egg, measuring 8 by 11 inches, is only smaller than eggs of Madagascar's elephant birds. ",science
2236,13,"
Uddhav Thackeray's son Tejas, team discover a new lizard species
","Tejas Thackeray, the younger son of Maharashtra CM Uddhav Thackeray, and a team of researchers have discovered a new gecko species near Sakleshpur in Central Western Ghats of Karnataka. The new species of big-bodied Cnemaspis has been named ""Cnemaspis magnifica"", with the suggested common name ""Magnificent dwarf gecko"". The findings have been published in international taxonomic journal Zootaxa.",science
2237,14,"
Govt dismisses rumours that 'Ring of fire' eclipse will end coronavirus
","In guidelines for 'Ring of fire' solar eclipse on Sunday, the government dismissed the rumours that the eclipse would mark the end of coronavirus. ""Solar eclipse is caused when the Moon comes in front of the Sun for a short time...Eclipses do not impact microorganisms on Earth...No mysterious rays come out of the Sun during an eclipse,"" the statement read.",science
2238,15,"
NASA may launch a mission to explore Neptune's largest moon Triton
","NASA has proposed a mission called ""Trident"" to explore Neptune's largest moon Triton. Triton features dark plumes of icy material spraying from its surface, has an ionosphere 10 times more active than other moons in our solar system and orbits in the direction opposite to Neptune's rotation. ""Trident"" is named after the three-pronged spear carried by ancient Roman god Neptune.",science
2239,16,"
Footprints of dinosaur as large as T-Rex found in Australia: Study
","Fossilised footprints found in Australia have revealed that carnivorous dinosaurs the length of a bus wandered the area about 160 million years ago, a study by the University of Queensland said. A palaeontologist said the dinosaur measured nearly 10 metres in length. In comparison, T-Rex attained lengths of 12-13 metres. Coal miners discovered the footprints in the 1950s and 1960s.",science
2240,17,"
Scientists trigger a hibernation-like state in mice
","Researchers from the University of Tsukuba said they have found specific cells in the brain of mice that can trigger a hibernation-like state when activated. Even though mice don't hibernate, the study showed that activating ""Q neurons"" caused them to enter a hibernation-like state for several days. The body temperature set-point lowered from about 36°C to about 27°C, researchers said.",science
2241,18,"
'Ring of fire' eclipse to be visible tomorrow, govt names places where it will be seen
","A rare celestial event, annular solar eclipse, popularly called as 'Ring of fire' eclipse will be visible on Sunday. The first solar eclipse of this year takes place on the summer solstice, the longest day in the Northern Hemisphere. The government said that it can be seen around Anupgarh, Suratgarh, Sirsa, Jakhal, Kurukshetra, Yamunanagar, Dehradun, Tapowan and Joshimath.",science
2242,19,"
Retract study that said COVID-19 is mainly airborne: Scientists
","Over 40 scientists have called for retraction of a study, 'Identifying airborne transmission as the dominant route for the spread of COVID-19'. They said the study made ""extraordinary claims"" about routes of transmission and the effectiveness of mask-wearing, among other things. They added the claims surrounding masks' role were based on ""easily falsifiable claims and methodological design flaws"".",science
2243,20,"
Soap bubbles could be used to pollinate amid vanishing bees: Study
",Researchers have suggested that soap bubbles could be used as a low-tech alternative to robotic pollination technology designed to supplement the work of vanishing bees. They said functional soap bubbles had high flexibility to avoid damaging flowers when compared to other methods. They used a drone to direct soap bubbles at fake lilies from a height of two metres.,science
2244,21,"
Plants can camouflage odour to avoid being eaten by insects: Study
","Plants in dense tropical forests can camouflage their chemical scents in order to avoid being detected and eaten by insects, a study said. International researchers examined 28 species of insects and 20 plant species in a tropical forest reserve in Mexico. Their research showed how individual members of ""complex plant communities"" evolve to emit similar odours that confuse hungry herbivores.",science
2245,22,"
IIT Guwahati develops low-cost VTM, RNA isolation kits for COVID-19
","IIT Guwahati in association with RR Animal Healthcare and Guwahati Medical College and Hospital, has developed low-cost COVID-19 diagnostic kits. The kits include Viral Transport Media (VTM) kits, RT-PCR kits and RNA isolation kits. The ""sterile"" VTM kits comply with the CDC-recommended configurations for viral specimen collection for COVID-19 and are packed in user-friendly individual packs.",science
2246,23,"
New spider species discovered in Madagascar named after Greta Thunberg
",A newly discovered species of huntsman spiders in Madagascar has been named after Swedish activist Greta Thunberg and is called 'Thunberga gen. nov.'. German arachnologist Peter Jager named it after Greta in honour of her commitment to tackling climate change. Jager said he hoped naming the species after Greta would draw attention to issue of loss of biodiversity in Madagascar.,science
2247,24,"
There may be as many as 6 billion Earth-like planets in our galaxy: Study
","Using data from NASA's Kepler mission, astronomers have estimated there could be as many as six billion Earth-like planets in Milky Way. An astronomer said Milky Way has as many as 400 billion stars, with 7% of them being G-type (Sun-like). Michelle Kunimoto, The University of British Columbia astronomer, placed an upper limit of 0.18 Earth-like planets per G-type star.",science
2248,25,"
NASA observes large Saharan dust plume over Atlantic Ocean
","NASA-NOAA's Suomi NPP satellite observed a huge Saharan dust plume over the North Atlantic Ocean. The satellite data showed it had spread over 2,000 miles. An atmospheric scientist at NASA, who created an animation of dust and aerosols from the plume, said the dust cloud was formed from strong atmospheric updrafts which was later picked up by prevailing westward winds.",science
2249,26,"
Oldest archery proof outside of Africa found in Sri Lanka, dates back 48,000 yrs
","Researchers said they have discovered the earliest known evidence of bow-and-arrow usage by prehistoric humans outside of Africa, in a Sri Lankan cave. They said the discovered fragments of arrowheads, made from bones, were likely used to hunt difficult-to-catch rainforest prey like squirrels, about 48,000 years ago. The oldest known evidence for bone-and-arrow use was unearthed in South Africa.",science
2250,0,"
Some Americans spraying disinfectant on skin, gargling bleach to avoid COVID-19: CDC
","A survey of 502 adults by the CDC found that 18% of Americans applied household disinfectant products to bare skin, attempting to stay safe from COVID-19. Warning against such ""high-risk practices"", it said 19% of them used bleach to clean food items like vegetables. While 10% misted themselves with disinfectant sprays, 4% drank or gargled diluted bleach or cleaning solutions.",science
2251,1,"
Singapore firm Tychan to start human trials for COVID-19 treatment
","Singapore-based biotechnology company Tychan, backed by state investor Temasek Holdings, will begin human clinical trials next week for a potential monoclonal antibody treatment for COVID-19. The first phase of the trial will be conducted on 23 healthy volunteers. It will take about six weeks to evaluate the safety and tolerability of TY027 - an antibody that specifically targets SARS-CoV-2.

",science
2252,2,"
Regeneron Pharma begins human trials of COVID-19 antibody 'cocktail' in US
","US-based Regeneron Pharmaceuticals said on Thursday that it has begun human trials of its antibody 'cocktail' as a treatment for COVID-19. The antibody, called REGN-COV2, contains an antibody made by Regeneron and a second isolated from humans who recovered from COVID-19. The firm also plans to study REGN-COV2 for preventing the infection in people at high risk of exposure.",science
2253,3,"
Moderna to begin final-stage human trial of its coronavirus vaccine in July
","US-based Moderna has selected a dose for a final-stage clinical trial of its coronavirus vaccine, called mRNA-1273, that will begin in July. The final study will include 30,000 people and its primary goal will be to show the vaccine prevents people from developing coronavirus symptoms. Moderna's vaccine provides instructions to healthy cells to produce antibodies against the coronavirus.",science
2254,4,"
Johnson & Johnson to begin human trials of COVID-19 vaccine in July
","Johnson & Johnson said it would start human trials of its potential COVID-19 vaccine in July. As many as 1,045 healthy people aged 18-55, as well as those 65 and older will participate in the trial. J&J has already signed a deal with the US government to create enough manufacturing capacity to make over 1 billion doses of its vaccine.",science
2255,5,"
Production of Oxford's potential COVID-19 vaccine starts; roll-out expected in Sept
","Britain-based AstraZeneca is starting the production of Oxford University's potential coronavirus vaccine in India, UK, Switzerland and Norway, CEO Pascal Soriot told BBC Radio 4's Today. ""We've to have it ready [for use] by the time we have the results,"" he said. If the vaccine's ongoing human trials are proven successful by September, AstraZeneca will produce 200 crore doses worldwide.",science
2256,6,"
Volcanic-glass spray effective in killing malaria-carrying mosquitoes: Study
","A spray made from perlite, a type of volcanic glass, showed effective control of malaria-carrying mosquitoes, a study claims. In West Africa, researchers sprayed walls of a group of huts with ""Imergard WP"", another with a commonly-used insecticide, and the third with the combination of the two. Walls treated with Imergard initially killed the largest amount of 'Anopheles gambiae' mosquitoes.",science
2257,7,"
Pinker flamingos are more aggressive over food, study finds
","Bright pink flamingos are more aggressive than their paler rivals when fighting over food, a study by the University of Exeter found. It said the ""pinkest"" flamingos tend to push others around during squabbles. ""A healthy flamingo that is an efficient feeder, demonstrated by its colourful feathers, will have more time and energy to be...dominant when feeding,"" a researcher explained.",science
2258,8,"
Rare cave-dwelling 'baby dragons' go on display for the first time in Slovenia
","Three juvenile olms, often called ""baby dragons"", have gone on display for the first time in an aquarium in Slovenia's Postojna Cave, where they hatched in 2016 in rare successful breeding. Only 30 people per day are allowed to visit. Olms are blind, can live up to 100 years and are sometimes called ""human fish"" due to their ""fleshy"" colour.",science
2259,9,"
Scientists create 'the fifth state of matter' in space
","With the Cold Atom Lab on ISS, scientists have utilised microgravity to create Bose-Einstein condensates, called the ""fifth state of matter"", in space, a study showed. The CAL can chill atoms in a vacuum down to temperatures one ten-billionth of a degree above 'absolute zero' (–273°C). BECs were predicted by Satyendra Nath Bose and Albert Einstein over 95 years ago.",science
2260,10,"
Scientists detect unidentified vast structures near Earth's core
","Scientists have detected vast structures made of ""unusually dense, hot"" material occupying the boundary between Earth's molten core and the solid mantle layer above it. They analysed echoes of seismic waves travelling beneath the Pacific Ocean basin. It revealed an unknown structure beneath the Marquesas Islands and showed the structure beneath the Hawaiian Islands is larger than previously known.",science
2261,11,"
L&T-made cryostat base installed at world's largest nuclear fusion project
","A 1,250-tonne cryostat base made by L&T Heavy Engineering was successfully installed at France's International Thermonuclear Experimental Reactor (ITER), the world's biggest nuclear fusion project. The $22 billion science experiment is backed by the EU, the US, China, India, Japan, South Korea and Russia. The cryostat base is the single largest and heaviest tokamak component.",science
2262,12,"
Saturn's moon Titan drifting away 100 times faster than previously thought: NASA
","Using data from NASA's Cassini spacecraft, astronomers discovered that Saturn's largest moon Titan is drifting away from it a hundred times faster than previously thought, at about 4 inches/year. Researchers said this suggests that Titan started out much closer to Saturn and the whole system expanded more quickly than previously believed. Our Moon drifts 1.5 inches from Earth each year.",science
2263,13,"
1st US woman to walk in space now 1st woman to reach deepest point in ocean
","Former NASA astronaut Kathryn Sullivan, the first American woman to conduct a spacewalk, has become the first woman to reach the deepest known point in Earth's ocean. In a submersible, she descended nearly 11 kilometres to the bottom of ""Challenger Deep"" in the Mariana Trench. Sullivan was accompanied by Victor Vescovo, an entrepreneur and deep-sea explorer, who funded the mission.",science
2264,14,"
James Webb Space Telescope will 'absolutely' not launch in March: NASA
","NASA has again delayed the launch of its James Webb Space Telescope (JWST). As per SpaceNews, NASA's Associate Administrator for Science Mission Directorate, Thomas Zurbuchen, during a meeting said, ""Absolutely we won't launch in March [2021]. That's not in the cards right now...It's not anyone's fault or mismanagement."" He said the coronavirus pandemic had led to additional lost work time.",science
2265,15,"
World's largest green turtle colony in Aus captured by scientists in drone video
","Scientists from Queensland Government's Department of Environment and Science (DES) have captured a drone video of the world's largest green turtle rookery at Raine Island in Australia. The largest population of nesting green turtles is nearly twice as big as previously thought, scientists said. Scientists determined about 64,000 green turtles are waiting to lay eggs on Raine Island.",science
2266,16,"
Study in Germany suggests wearing masks can reduce COVID-19 spread by 40%
","German researchers have suggested masks could reduce daily growth rate of reported COVID-19 infections by around 40%. The study involved researchers examining the growth rate of cases in different regions of Germany after face masks were introduced in shops and on public transport there. However, the researchers added that the findings could vary in other countries.",science
2267,17,"
SpaceX launches 58 Starlink satellites & 3 Planet SkySat spacecraft 
","SpaceX announced that its Falcon 9 rocket has successfully launched 58 more satellites for the Starlink constellation. This brings the total of operational Starlink broadband internet satellites on orbit to 538. SpaceX also launched three Planet SkySat spacecraft, making it its first ""SmallSat Rideshare"" launch. SpaceX had launched previous batch of Starlink satellites on June 4.",science
2268,18,"
Possible remains of London's earliest theatre found: Archaeologists
","Archaeologists believe that they may have discovered remains of London's earliest purpose-built theatre in east London beneath a construction site in Whitechapel. The Elizabethan playhouse called 'The Red Lion' is thought to have been built around 1567. Stephen White, director of the excavation, said that he is 97% sure that the site discovered is 'The Red Lion'.",science
2269,19,"
Fossil of 2-million-year old frog found in Argentina: Researchers
","Paleontologists claim to have discovered fossilised remains of a rare species of frog that lived two million years ago in Argentina. The remains consisted of a ""very small humerus (arm bone) of a tiny amphibian, distinct from horned and tree frogs"", a researcher said. The fossil was found 144 feet underground during the digging of a well in Argentina.",science
2270,20,"
Data from eclipse used to unveil the shape of Sun's coronal magnetic field
","In a new study, a graduate student from the University of Hawai'i used data from 14 solar eclipses to measure the shape of the Sun's coronal magnetic field. The corona is most easily seen during a total solar eclipse. Benjamin Boe found that there were very fine-scale structures throughout the corona, implying it is even more structured than previously reported.",science
2271,21,"
Coral reef islands could adapt to survive sea-level rise: Study
","A study led by the University of Plymouth suggests that coral reefs could naturally adapt to survive the impact of rising sea levels. With the rising waves, islands made of gravel material could evolve with sediment from the beach face being transferred to the island's surface, study concluded. This means island's crest will rise as sea-level rises.",science
2272,22,"
Researchers claim to have mapped an underground Roman city without digging
","University of Cambridge and Ghent University researchers claim to have mapped an underground Roman city, Falerii Novi in Italy, without digging using advanced ground-penetrating radar. They discovered a bath complex, market, a public monument and the city's water pipes network. Researchers towed their GPR instruments behind a quad bike and surveyed all 30.5 hectares within the city's walls.",science
2273,23,"
Half of ice-free land remains without significant human influence: Study
","A study published in Global Change Biology journal claims that roughly half of Earth's ice-free land remains without significant human influence. Researchers compared four recent global maps of the conversion of natural lands to anthropogenic land uses. They found that the more impacted half of Earth's lands included cities, croplands and places intensively ranched or mined.",science
2274,24,"
We were first to send man into space: Russian space agency chief on US jokes
","Talking about American jokes on Russia's space programmes, Russian space agency chief Dmitry Rogozin said, ""Our country was first to send man into space...We remain first to this day."" Rogozin said after the US conducted successful test on its spacecraft, there was nothing but jokes directed at them. Previously, the US had relied on Russia to send astronauts in space.",science
2275,25,"
NASA names Kathy Lueders as first woman head of Human Spaceflight office
","NASA has appointed Kathy Lueders as the associate administrator of the Human Exploration and Operations (HEO) Mission Directorate. She is the first woman to have been appointed to the role. NASA Administrator Jim Bridenstine said, ""Kathy has successfully managed both the Commercial Crew and Commercial Cargo programs and is the right person to lead HEO.""",science
2276,26,"
Fossilised footprints suggest ancient crocodiles walked on 2 legs: Researchers
","Researchers have suggested some species of ancient crocodiles walked on their two hind legs like dinosaurs and measured over three metres in length. Their fossilised footprints found were initially thought to be made by pterosaurs. They dated between 110-120 million years ago and measured around 24 centimetres, suggesting the track-makers had legs about same height as human adult legs.",science
2277,0,"
SpaceX capsule carrying two NASA astronauts docks with ISS
","The SpaceX Crew Dragon capsule carrying NASA astronauts Doug Hurley and Bob Behnken docked with the International Space Station (ISS) today. The Dragon spacecraft flies autonomously, but the astronauts can take over the controls at any time. Once docking is complete, the astronauts will be able to disembark the capsule and join the Russian-American crew already onboard the ISS.",science
2278,1,"
Hydroxychloroquine is useless, don't give it to COVID-19 patients: Oxford professor
","Hydroxychloroquine does not work against COVID-19 and should not be given to hospital patients around the world, Oxford University professor Martin Landray has said. ""We can now stop using a drug that is useless,"" he further said. This comes as British scientists halted the drug's trial. Many countries have permitted emergency use of the drug.",science
2279,2,"
Social bubbles can limit COVID-19 better than social distancing: Oxford study
","""Social bubbles"" would be more effective in limiting COVID-19 spread than unstrategic social distancing, and keeping the curve flat post lockdown, a study by Oxford University found. It said this mitigates the recognised psychological and physical harms of prolonged social distancing. The approach requires people to limit their interactions to a few repeated contacts like close friends and family.",science
2280,3,"
Lancet retracts paper that found HCQ increased risk of death in Covid-19 patients
","British medical journal The Lancet has retracted an article that found hydroxychloroquine increased the risk of heart problems and death in Covid-19 patients. Three of its authors led by Mandeep Mehra said they can no longer vouch for the veracity of the data. Surgisphere, the company that provided the data, refused to transfer the full dataset for an independent review.",science
2281,4,"
Scientists funded by Chan Zuckerberg Initiative condemn Facebook's stance on Trump's post
","Over 140 scientists, who received research funding from the Chan Zuckerberg Initiative (CZI), have signed an open letter criticizing Facebook for its inaction on US President Donald Trump's post. They said it was a clear statement of inciting violence. They added the ""spread of deliberate misinformation and divisive language"" on the platform was ""antithetical"" to the CZI's philanthropic mission.",science
2282,5,"
Cambridge researchers train robot to make omelettes
","Cambridge University researchers have trained a robotic arm to make omelettes, from cracking the eggs to plating the finished dish. They used machine learning data from a study of volunteers and their reaction to different omelettes cooked in various ways to train the robot. Researcher Fumiya Iida said the finished result ""in general, tasted great and much better than expected.""",science
2283,6,"
NASA astronauts enter International Space Station after SpaceX capsule docking
",NASA astronauts Bob Behnken and Doug Hurley entered the International Space Station (ISS) and joined the crew at 1:02 pm ET (10:32 pm Sunday IST). Their arrival took place hours after SpaceX Crew Dragon they travelled in successfully docked with the ISS. This marks the first time in human history NASA astronauts have entered the ISS from a commercially-made spacecraft.,science
2284,7,"
In pics: SpaceX launches two NASA astronauts to space on historic mission
","Elon Musk-led SpaceX made history by successfully launching NASA astronauts Doug Hurley and Bob Behnken to space aboard its Crew Dragon spacecraft becoming the first private company to do so. SpaceX also successfully landed its first stage booster from Falcon 9. Once the mission 'Demo-2' is complete, SpaceX's launch vehicle will be certified for commercial crewed flights to space. ",science
2285,8,"
NASA paying Russia $90M to send astronaut to ISS despite SpaceX launch success
","NASA is sending American astronaut Kate Rubins to the International Space Station for six months. Rubins will hitch a ride on Russia's Soyuz MS-17 spacecraft on October 14, for which NASA is paying nearly $90 million, a spokesperson told Forbes. This comes after SpaceX launched two astronauts to the ISS, marking the first crewed launch from US soil since 2011.",science
2286,9,"
Starship is key to making life multi-planetary: Elon Musk
","Elon Musk has said that SpaceX's under-development reusable rocket 'Starship' is the ""key to making life multi-planetary and protecting the light of consciousness"". He was responding to a tweet listing test and launch milestones achieved by SpaceX in the last 10 years. Recently, a prototype of Starship, which will eventually transport cargo and humans to Mars, exploded during engine tests.",science
2287,10,"
Got 7 hours of sleep on our 19-hour journey to ISS: NASA astronauts
","When asked whether they managed to get any sleep during their 19-hour journey to the ISS, NASA astronaut Bob Behnken replied they got the opportunity to sleep for ""seven hours or so"". ""I did succeed at sleep,"" he added. ""First night is always a...bit of a challenge, but SpaceX's Dragon was a slick vehicle. We had good airflow,"" Behnken said.",science
2288,11,"
Elon Musk confirms SpaceX is sticking to 2022 launch date goal for Mars mission
","After a Twitter user questioned whether 2022 was still SpaceX's target for the first cargo mission to Mars, CEO Elon Musk confirmed the same. SpaceX is aiming to launch a human crew to Mars in 2024. Musk added that the human civilisation on the red planet could become self-sustainable and not reliant on supplies from Earth, in approximately 25 years.",science
2289,12,"
SpaceX launches 60 more Starlink satellites and lands rocket successfully
","SpaceX launched second Falcon 9 rocket in the span of just four days on Wednesday at 9:25 PM EDT (6:55 AM IST, Thursday) carrying 60 more satellites for Starlink constellation. This brings the total Starlink broadband internet satellites currently in operation on orbit to 480. SpaceX also successfully landed first stage of reusable Falcon 9 rocket used for the launch.",science
2290,13,"
Astronomers find a 'mirror image' of the Earth and the Sun
","Astronomers believe they've discovered an Earth-like exoplanet orbiting a Sun-like star, about 3,000 light-years away. The 'KOI-456.04', which is less than twice the Earth's size, orbits 'Kepler-160' at a distance similar to that between Earth and Sun and within the habitable zone. The amount and type of light that 'KOI-456.04' receives from its star is similar to what Earth gets.",science
2291,14,"
World's largest radio telescope in China to start looking for aliens in September
","China's Five-hundred-meter Aperture Spherical Telescope (FAST) will start looking for signals of alien life in September, said Chief scientist Zhang Tongjie. It officially went live for general science in January. FAST is the world's largest single-aperture radio telescope and consists of 4,450 individual panels that scan the sky. It's cradled in a natural depression the size of 30 soccer fields.",science
2292,15,"
Rare bandtail scorpionfish that can change colour found in Gulf of Mannar
",Scientists at the Kochi-based Central Marine Fisheries Research Institute (CMFRI) have found a rare species of bandtail scorpionfish which can change its colour and carries stinging venomous spines. The CMFRI stated that the fish was spotted along the Sethukarai coast in the Gulf of Mannar. It has been handed over to the institute's National Marine Biodiversity Museum for further studies.,science
2293,16,"
2nd oldest fossil of pregnant ichthyosaur found, dates back 246 million years
","The fossil of an ichthyosaur was discovered in Nevada by German palaeontologist Martin Sander, with evidence the extinct marine reptile was pregnant when it died. Reconstructions found the ichthyosaur to be 12-foot long, while smaller vertebrae in her trunk region indicated that it had at least three fetuses. The 246-million-year-old ichthyosaur is the second-oldest pregnant specimen ever found.",science
2294,17,"
NASA shares video of black hole ejecting hot material at close to speed of light
","NASA astronomers have captured a black hole hurling hot material into space at 80% the speed of light. The strong gravity of the black hole, which has eight times the Sun's mass, pulls material away from its companion star into a disk around itself. Some of this is blasted away from the black hole in a pair of powerful beams.",science
2295,18,"
Trump campaign removes space video that violated NASA's policies
","President Donald Trump's campaign had to remove a video titled 'Make Space Great Again' as it violated NASA's ad policies. The video included shots of NASA astronauts Doug Hurley and Bob Behnken who were recently launched in SpaceX Crew Dragon. Hurley's wife Karen L Nyberg, a retired astronaut, called inclusion of her and her son in a ""political propaganda"" ""disturbing"".",science
2296,19,"
Scientists claim to have discovered last meal of a fossilised dinosaur
","Scientists claim to have discovered the last meal of an over 110-million-year fossilised armoured dinosaur by observing the contents of its well-preserved stomach. They said its last meal was mostly fern leaves, 88% chewed leaf material and 7% stems and twigs. Scientists said thin sections of stomach contents had ""beautifully preserved and concentrated plant material"".",science
2297,20,"
NASA awards $187M to Northrop Grumman for Lunar Gateway's crew cabin
","NASA announced that it has awarded $187 million to a subsidiary of Northrop Grumman Space to design the habitation and logistics outpost (HALO) for the Lunar Gateway. The HALO will be the pressurised living quarters for astronauts while they visit the Gateway. The award funds HALO's design through its preliminary design review, expected by the end of 2020, NASA said.",science
2298,21,"
Atmospheric CO2 levels hit record high in May despite lockdowns: Reports
","Atmospheric CO2 measured at Mauna Loa Observatory reached a record high of 417.1 parts per million (ppm) in May 2020 despite COVID-19 restrictions in place. This is the highest monthly reading ever recorded, scientists from NOAA and Scripps Institution of Oceanography said. It is 2.4 ppm higher than the 2019 peak of 414.7 ppm recorded in May 2019.",science
2299,22,"
Fossils of dinosaur species that had limbs like birds found in Argentina: Study
","Palaeontologists claim to have found fossils of a new dinosaur species, that lived 90 million years ago, in Patagonia, Argentina. The fossil remains are less than a metre and a half long and belong to a new species of carnivorous Paraves theropod that has been named Overoraptor chimentoi. The species had upper limbs similar to modern birds, a researcher said.",science
2300,23,"
Oldest and largest Mayan monument discovered in Mexico: Researchers
","Researchers claim to have discovered the oldest and largest Mayan monument in Tabasco, Mexico. They used a remote-sensing technique, lidar, that employs a pulsed laser and other data obtained flying over a site to generate 3D information about shape of surface characteristics. The monument is nearly 4,600 feet long, includes nine wide causeways and its height ranges from 30-50 feet.",science
2301,24,"
Scientists identify cleanest air on Earth: Colorado State University
","Colorado State University scientists claim to have identified an atmospheric region ""unchanged by human-related activities"" in the first study to measure bioaerosol composition of Southern Ocean south of 40 degrees south latitude. They found the boundary layer air free from aerosols produced by human activities or transported from distant lands. Bacteria in the air were used for a diagnosis.",science
2302,25,"
Mangrove trees might not survive sea-level rise by 2050: Study
","A study claims if greenhouse emissions aren't reduced, mangrove trees won't survive sea-level rise by 2050. It added, mangroves are more likely to survive when sea-level rise is less than 5 millimetres per year. Under high-emissions scenarios, rates of sea-level rise on many coastlines would exceed 7 millimetres per year, at which there's 6.2% probability of mangroves sustaining, researcher said.",science
2303,26,"
Sixth mass extinction of species is accelerating: Study
","Scientists have claimed the sixth mass extinction of species is accelerating and over 500 species of land animals are on the verge of extinction and will likely be lost within 20 years. Their analysis examined data on 29,400 land vertebrate species and identified 515 species with populations below 1,000. These species include Sumatran rhino, Española giant tortoise and harlequin frog.",science
2304,0,"
Firm whose stock surged 1000% in 2020 starts human trials of Covid-19 vaccine
","US biotech company Novavax said it has started Phase 1 clinical trial of its experimental coronavirus vaccine and has enrolled 130 volunteers. Novavax's valuation has surged by over 1,000% this year to about $2.7 billion despite having no products on the market. The trial is being supported by $388 million in funding from the Coalition for Epidemic Preparedness Innovations (CEPI).",science
2305,1,"
If it goes wrong, it's my fault: Musk hours before NASA-SpaceX's space mission
","SpaceX CEO Elon Musk said, ""If it goes right, credit goes to SpaceX-NASA team. If it goes wrong, it's my fault,"" hours before SpaceX's launch of humans into orbit today midnight. SpaceX will launch NASA astronauts Bob Behnken and Doug Hurley into orbit on its new Crew Dragon spaceship at 2:00 am. The NASA-SpaceX mission is called 'Demo 2'.",science
2306,2,"
Billionaire Richard Branson's Virgin Orbit fails in its first rocket launch attempt
","Billionaire Richard Branson's satellite launch startup Virgin Orbit failed in its first attempt to launch a rocket over Pacific Ocean. The booster was released from under the wing of one of Branson's old aircraft, a Boeing 747, which was specially converted for the task. After the rocket's 'clean release' and in-air ignition, an anomaly occurred and the mission was terminated.",science
2307,3,"
Who are the 2 NASA astronauts on board SpaceX's Crew Dragon spacecraft?
","SpaceX on Saturday launched two NASA astronauts on its Crew Dragon spacecraft. Douglas Hurley, who was selected as an astronaut in 2000, holds a Bachelor of Science in Civil Engineering and was a fighter pilot and test pilot in US Marine Corps. Robert Behnken, who is a veteran of two space shuttle flights, holds a Doctorate in Mechanical Engineering.",science
2308,4,"
SpaceX's Starship rocket prototype explodes during engine test
","The fourth prototype of SpaceX's next-generation Starship rocket exploded during ground tests on Friday. Soon after the Elon Musk-led company ignited the SN4's Raptor engine, a fireball engulfed the vehicle, leaving little hardware standing and apparently causing damage to the test site. The 394-foot tall rocket is being developed to eventually carry humans and cargo to the Moon and Mars. ",science
2309,5,"
SpaceX to launch NASA astronauts 3 days after 1st mission called off
","SpaceX will launch two NASA astronauts into orbit at around 1 am IST, three days after the first mission was called off due to bad weather. A SpaceX Falcon 9 rocket is scheduled to launch the Crew Dragon capsule from NASA's Kennedy Space Center in Florida. ""Weather challenges remain with a 50% chance of cancellation,"" NASA Administrator Jim Bridenstine said.",science
2310,6,"
Stuffed dinosaur toy sent into space on board SpaceX's Crew Dragon spacecraft
","A sequined stuffed dinosaur toy has been sent into space aboard SpaceX's Crew Dragon spacecraft carrying NASA astronauts Bob Behnken and Doug Hurley to the International Space Station. Called ""Tremor"", the toy was picked out from their sons' toy collections. When the toy starts floating, it lets the buckled-in astronauts know that they've reached zero gravity and are experiencing weightlessness.",science
2311,7,"
Who are Doug Hurley & Bob Behnken, NASA astronauts to be launched by SpaceX?
",NASA astronauts Doug Hurley (53) and Bob Behnken (49) will be launched by Elon Musk-led SpaceX in its final test flight for NASA's Commercial Crew Program at 2 am IST. They are classmates and friends married to veteran space fliers. Retired Marine Colonel Hurley will oversee launch and landing while Air Force Colonel Behnken will oversee docking at the ISS.,science
2312,8,"
NASA satellite images show extent of heatwave in India
","Satellite visuals from NASA Worldview show the extent of heatwave on the Indian land. Images from May 26 and May 27 captured the land surface temperatures in the country. Churu in Rajasthan recorded the country's highest maximum temperature at 50°C on Tuesday, while Delhi's Safdarjung recorded its hottest May day in 18 years at 46°C on Tuesday. ",science
2313,9,"
SpaceX rocket blasts off into orbit with 2 astronauts, 1st private company to do so
","SpaceX Falcon 9 rocket and Dragon crew capsule carrying two NASA astronauts blasted off from the Kennedy Space Center in Florida, marking the first instance of a private company launching astronauts into orbit. It is also the first launch of astronauts from US soil since retirement of NASA's space shuttle fleet in 2011. This was SpaceX’s second attempt at launch.",science
2314,10,"
Antarctic ice sheet melted 10 times faster at end of Ice Age than today: Study
","Antarctic ice shelves retreated at a speed almost 10 times faster than the satellite-derived rates observed today, researchers at Cambridge University found. They calculated that roughly 12,000 years ago, ice was retreating up to 50 metres per day, equating to over 10 kilometres a year. In comparison, the fastest-retreating grounding lines in Antarctica today retreat only 1.6 kilometres per year.",science
2315,11,"
Scientists develop most heat-resistant material ever created
","Scientists from Russia's National University of Science and Technology MISiS have developed a ceramic material with the highest melting point among known compounds. They fabricated the new compound, hafnium carbonitride, close to the theoretical composition and upon heating, found that it has a higher melting point than the ""original champion"" hafnium carbide. Its melting point lies above 4,000°C.",science
